model,expected_%,worst_regime_rate_%,best_regime_rate_%,regime_spread_%,regime_std_%,worst_cell_rate_%
garch_t,1.0000000000000009,2.909090909090909,1.1155378486055778,1.7935530604853314,0.6874700281279971,4.545454545454546
historical,1.0000000000000009,3.1818181818181817,0.23809523809523808,2.9437229437229435,1.1077150680317378,3.9840637450199203
garch_normal,1.0000000000000009,3.5454545454545454,1.4114513981358188,2.134003147318727,0.7588126414149061,5.454545454545454
ewma,1.0000000000000009,3.6363636363636367,1.6245006657789614,2.0118629705846756,0.720799707938903,4.545454545454546
normal_rolling,1.0000000000000009,4.621513944223108,0.8730158730158729,3.748498071207235,1.5307897843592466,6.772908366533864
