asset,model,regime,n_days,mean_ret_%,vol_ann_%,worst_day_%,exceptions,breach_rate_%,expected_%,kupiec_p
SPY,normal_rolling,1. Pre-COVID calm,790,0.05812062060136969,12.779531584646614,-4.272236833224654,23,2.911392405063291,1.0000000000000009,1.1464172220088109e-05
SPY,normal_rolling,2. COVID shock (2020),220,0.053811771747933765,35.8181649117464,-11.588633905470653,13,5.909090909090909,1.0000000000000009,5.349798805065475e-07
SPY,normal_rolling,3. 2021 low-vol bull,252,0.10021323605852786,12.993943577459529,-2.474414306347111,3,1.1904761904761905,1.0000000000000009,0.7679687153509263
SPY,normal_rolling,4. 2022 rates bear,251,-0.0799170442517615,24.259220547816426,-4.445605688808351,16,6.374501992031872,1.0000000000000009,9.029339054222874e-09
SPY,normal_rolling,5. 2023-25 recovery,751,0.08326338193560583,15.28013319262908,-6.03265345628574,11,1.4647137150466045,1.0000000000000009,0.23128786812373414
SPY,ewma,1. Pre-COVID calm,790,0.05812062060136969,12.779531584646614,-4.272236833224654,20,2.5316455696202533,1.0000000000000009,0.0002886023918149405
SPY,ewma,2. COVID shock (2020),220,0.053811771747933765,35.8181649117464,-11.588633905470653,10,4.545454545454546,1.0000000000000009,0.00010950711665702606
SPY,ewma,3. 2021 low-vol bull,252,0.10021323605852786,12.993943577459529,-2.474414306347111,8,3.1746031746031744,1.0000000000000009,0.005695561131296212
SPY,ewma,4. 2022 rates bear,251,-0.0799170442517615,24.259220547816426,-4.445605688808351,4,1.593625498007968,1.0000000000000009,0.38425482379008424
SPY,ewma,5. 2023-25 recovery,751,0.08326338193560583,15.28013319262908,-6.03265345628574,14,1.8641810918774968,1.0000000000000009,0.03358259571532707
SPY,historical,1. Pre-COVID calm,790,0.05812062060136969,12.779531584646614,-4.272236833224654,11,1.3924050632911391,1.0000000000000009,0.29536183207698385
SPY,historical,2. COVID shock (2020),220,0.053811771747933765,35.8181649117464,-11.588633905470653,8,3.6363636363636362,1.0000000000000009,0.002404877202435096
SPY,historical,3. 2021 low-vol bull,252,0.10021323605852786,12.993943577459529,-2.474414306347111,1,0.3968253968253968,1.0000000000000009,0.27317696034930095
SPY,historical,4. 2022 rates bear,251,-0.0799170442517615,24.259220547816426,-4.445605688808351,10,3.9840637450199203,1.0000000000000009,0.00032961710326417926
SPY,historical,5. 2023-25 recovery,751,0.08326338193560583,15.28013319262908,-6.03265345628574,10,1.3315579227696404,1.0000000000000009,0.38479047220829155
SPY,garch_normal,1. Pre-COVID calm,790,0.05812062060136969,12.779531584646614,-4.272236833224654,18,2.278481012658228,1.0000000000000009,0.001969957630281516
SPY,garch_normal,2. COVID shock (2020),220,0.053811771747933765,35.8181649117464,-11.588633905470653,7,3.1818181818181817,1.0000000000000009,0.00958248144529339
SPY,garch_normal,3. 2021 low-vol bull,252,0.10021323605852786,12.993943577459529,-2.474414306347111,6,2.380952380952381,1.0000000000000009,0.06141417870858268
SPY,garch_normal,4. 2022 rates bear,251,-0.0799170442517615,24.259220547816426,-4.445605688808351,6,2.3904382470119523,1.0000000000000009,0.06037810014571854
SPY,garch_normal,5. 2023-25 recovery,751,0.08326338193560583,15.28013319262908,-6.03265345628574,13,1.7310252996005324,1.0000000000000009,0.06814278947316355
SPY,garch_t,1. Pre-COVID calm,790,0.05812062060136969,12.779531584646614,-4.272236833224654,13,1.6455696202531647,1.0000000000000009,0.09523503268026035
SPY,garch_t,2. COVID shock (2020),220,0.053811771747933765,35.8181649117464,-11.588633905470653,5,2.272727272727273,1.0000000000000009,0.10381361713288861
SPY,garch_t,3. 2021 low-vol bull,252,0.10021323605852786,12.993943577459529,-2.474414306347111,3,1.1904761904761905,1.0000000000000009,0.7679687153509263
SPY,garch_t,4. 2022 rates bear,251,-0.0799170442517615,24.259220547816426,-4.445605688808351,3,1.1952191235059761,1.0000000000000009,0.7629803606411324
SPY,garch_t,5. 2023-25 recovery,751,0.08326338193560583,15.28013319262908,-6.03265345628574,11,1.4647137150466045,1.0000000000000009,0.23128786812373414
QQQ,normal_rolling,1. Pre-COVID calm,790,0.08852767432585049,17.164496335203303,-4.684712568411955,24,3.0379746835443036,1.0000000000000009,3.5923952008687365e-06
QQQ,normal_rolling,2. COVID shock (2020),220,0.13012109071529118,38.07606130821459,-12.759235670684784,11,5.0,1.0000000000000009,2.0224049932404675e-05
QQQ,normal_rolling,3. 2021 low-vol bull,252,0.09615720424650373,18.23062744165302,-3.5484650333672825,1,0.3968253968253968,1.0000000000000009,0.27317696034930095
QQQ,normal_rolling,4. 2022 rates bear,251,-0.15704532922055847,32.17834483339167,-5.63976537499962,15,5.9760956175298805,1.0000000000000009,6.226480797622003e-08
QQQ,normal_rolling,5. 2023-25 recovery,751,0.11479631873893041,19.905499062339683,-6.4121422620669115,16,2.130492676431425,1.0000000000000009,0.006816775258735364
QQQ,ewma,1. Pre-COVID calm,790,0.08852767432585049,17.164496335203303,-4.684712568411955,18,2.278481012658228,1.0000000000000009,0.001969957630281516
QQQ,ewma,2. COVID shock (2020),220,0.13012109071529118,38.07606130821459,-12.759235670684784,9,4.090909090909091,1.0000000000000009,0.000539955289779015
QQQ,ewma,3. 2021 low-vol bull,252,0.09615720424650373,18.23062744165302,-3.5484650333672825,7,2.7777777777777777,1.0000000000000009,0.019861211712255744
QQQ,ewma,4. 2022 rates bear,251,-0.15704532922055847,32.17834483339167,-5.63976537499962,4,1.593625498007968,1.0000000000000009,0.38425482379008424
QQQ,ewma,5. 2023-25 recovery,751,0.11479631873893041,19.905499062339683,-6.4121422620669115,14,1.8641810918774968,1.0000000000000009,0.03358259571532707
