asset,model,regime,n_days,mean_ret_%,vol_ann_%,worst_day_%,exceptions,breach_rate_%,expected_%,kupiec_p
QQQ,normal_rolling,3. 2021 low-vol bull,252,0.09615720424650373,18.23062744165302,-3.5484650333672825,8,3.1746031746031744,5.000000000000004,0.15526546510645667
QQQ,normal_rolling,4. 2022 rates bear,251,-0.15704532922055847,32.17834483339167,-5.63976537499962,34,13.545816733067728,5.000000000000004,2.1854996168357843e-07
QQQ,normal_rolling,5. 2023-25 recovery,751,0.11479631873893041,19.905499062339683,-6.4121422620669115,28,3.7283621837549936,5.000000000000004,0.0946762477882489
QQQ,ewma,1. Pre-COVID calm,790,0.08852767432585049,17.164496335203303,-4.684712568411955,39,4.936708860759493,5.000000000000004,0.9348165154331902
QQQ,ewma,2. COVID shock (2020),220,0.13012109071529118,38.07606130821459,-12.759235670684784,14,6.363636363636363,5.000000000000004,0.3723498748991151
QQQ,ewma,3. 2021 low-vol bull,252,0.09615720424650373,18.23062744165302,-3.5484650333672825,17,6.746031746031746,5.000000000000004,0.22614718921702004
QQQ,ewma,4. 2022 rates bear,251,-0.15704532922055847,32.17834483339167,-5.63976537499962,19,7.569721115537849,5.000000000000004,0.08146841556836237
QQQ,ewma,5. 2023-25 recovery,751,0.11479631873893041,19.905499062339683,-6.4121422620669115,47,6.25832223701731,5.000000000000004,0.1272036415504818
QQQ,historical,1. Pre-COVID calm,790,0.08852767432585049,17.164496335203303,-4.684712568411955,43,5.443037974683544,5.000000000000004,0.572993119864367
QQQ,historical,2. COVID shock (2020),220,0.13012109071529118,38.07606130821459,-12.759235670684784,19,8.636363636363637,5.000000000000004,0.024219225100027164
QQQ,historical,3. 2021 low-vol bull,252,0.09615720424650373,18.23062744165302,-3.5484650333672825,6,2.380952380952381,5.000000000000004,0.034352820644831805
QQQ,historical,4. 2022 rates bear,251,-0.15704532922055847,32.17834483339167,-5.63976537499962,25,9.9601593625498,5.000000000000004,0.0013896968134045062
QQQ,historical,5. 2023-25 recovery,751,0.11479631873893041,19.905499062339683,-6.4121422620669115,32,4.26098535286285,5.000000000000004,0.34089460950840456
