Date,SPY,QQQ,TLT,GLD
2015-01-02,169.68785095214844,94.56116485595703,92.65927124023438,114.08000183105469
2015-01-05,166.62338256835938,93.17407989501953,94.11486053466797,115.80000305175781
2015-01-06,165.05393981933594,91.92475128173828,95.81048583984375,117.12000274658203
2015-01-07,167.11070251464844,93.1097640991211,95.6213150024414,116.43000030517578
2015-01-08,170.07603454589844,94.89186096191406,94.35501098632812,115.94000244140625
2015-01-09,168.71316528320312,94.2672348022461,95.38843536376953,117.26000213623047
2015-01-12,167.3915557861328,93.28429412841797,95.93427276611328,118.55999755859375
2015-01-13,166.92071533203125,93.2567138671875,95.93427276611328,118.16000366210938
2015-01-14,165.91299438476562,92.7423095703125,96.66201782226562,117.97000122070312
2015-01-15,164.3931121826172,91.53894805908203,98.18306732177734,120.94000244140625
2015-01-16,166.5489501953125,92.61370086669922,96.93128204345703,122.5199966430664
2015-01-20,166.9041748046875,93.34859466552734,98.21942901611328,124.19999694824219
2015-01-21,167.74671936035156,93.82628631591797,97.0841293334961,124.2300033569336
2015-01-22,170.24131774902344,95.56241607666016,96.73475646972656,125.2300033569336
2015-01-23,169.30789184570312,95.77373504638672,98.08116912841797,124.2300033569336
2015-01-26,169.7042999267578,95.66349029541016,97.78276824951172,122.98999786376953
2015-01-27,167.4658660888672,93.1832275390625,97.93560028076172,124.4000015258789
2015-01-28,165.31822204589844,92.70558166503906,99.53665161132812,123.41999816894531
2015-01-29,166.84637451171875,93.59662628173828,98.88170623779297,120.76000213623047
2015-01-30,164.748291015625,92.87091064453125,100.63560485839844,123.44999694824219
2015-02-02,166.7885284423828,93.67930603027344,100.25569915771484,122.41999816894531
2015-02-03,169.200439453125,94.57951354980469,98.13360595703125,121.05000305175781
2015-02-04,168.5562286376953,94.49685668945312,98.3012924194336,121.58000183105469
2015-02-05,170.25782775878906,95.31439971923828,97.22200775146484,121.79000091552734
2015-02-06,169.78700256347656,94.73568725585938,95.50106048583984,118.63999938964844
2015-02-09,169.0270538330078,94.43252563476562,95.34786987304688,119.16999816894531
